,HasContext,IsA,FormOf,AtLocation,SimilarTo
10,"['gullywasher__us', 'pyore__us', 'snowmageddon__us', ""how'll__us"", 'porkish__us', 'verklempt__us', 'sidebang__us', 'slavocracy__us', 'bbg__us', 'progue__us', 'socko__us', 'dearborner__us', 'fraidy__us', 'detassel__us']","['baekje__country', 'dassel__town', 'kentville__town', 'monrovia__city', 'togoland__country', 'surakarta__city', 'glamorgan__country', 'hvar__city', 'ouagadougou__city', 'xiaogan__city', 'drogheda__town', 'kerch__city', 'maoming__city', 'ossining__town', 'montevideo__city', 'comoros__country']",,,
11,"['excambie__scotland', 'rance__scotland', 'wowf__scotland', 'hurple__scotland', 'merk__scotland', 'sclaff__scotland', 'devel__scotland']",,,,
12,"['messet__uk', 'regrexit__uk', 'ripa__uk', 'ladsy__uk', 'swatter__uk', 'wssl__uk', 'shrowd__uk', 'stickle__uk', 'senco__uk', 'waggel__uk', 'hallan__northumberland', 'pcn__uk', 'eyetie__british', 'unbovvered__british', 'dutchie__canada', 'lasher__uk', 'brunie__uk', 'bosser__uk', 'limehouse__british', 'flitterjigs__british']",,,,
13,"['poddy__australia', 'yakka__australia', 'sunbaker__australia', 'snib__australia', 'grundy__australia', 'cair__australia']",,,,
14,"['infundibulofolliculitis__disease', 'lithogenesis__pathology', 'citraturia__pathology', 'dysembryoplasia__pathology', 'dystasia__pathology', 'leucoderma__pathology', 'hepatopathogenic__pathology', 'acneiform__pathology', 'nonprogression__pathology', 'paralexia__pathology']",,,,
15,"['cybersquat__internet', 'crapplet__internet', 'vidblogging__internet', 'ctfo__internet', 'community__internet', 'autogreet__internet']",,,,
16,"['lensoidal__geology', 'acadian__geology', 'seismiturbation__geology', 'exogenic__geology', 'diluviation__geology', 'plinthaquult__geology', 'backbulge__geology', 'uranology__geology']",,,,
17,"['chloris__astronomy', 'callisto__astronomy', 'hestia__astronomy', 'egm__astronomy', 'sophrosyne__astronomy', 'geofugal__astronomy']",,,,
18,"['arcosolium__architecture', 'epinaos__architecture', 'distyle__architecture', 'peristasis__architecture', 'facadectomy__architecture', 'fusarole__architecture', 'haunching__architecture', 'quoining__architecture', 'spindlework__architecture']",,,,
19,"['advisatory__legal', 'orling__technical', 'counterlawsuit__legal', 'respa__legal', 'faldfee__legal', 'conusor__legal']",,,,
